indx,time,flux,fluxErr
0,2460332.31617441,0.9983513985249128,0.0104
1,2460332.3165511577,1.0127013739001438,0.0104
2,2460332.3169072107,1.006674865570353,0.0104
3,2460332.317284404,1.009114059943732,0.0104
4,2460332.317648686,1.0260062454665255,0.0104
5,2460332.3180269795,0.989063578346564,0.0104
6,2460332.3184016435,0.9935924013200075,0.0104
7,2460332.318775382,0.9809515367248788,0.0104
8,2460332.3191524306,1.0003227737539975,0.0104
9,2460332.3195084548,0.9832791862090084,0.0104
10,2460332.31988566,1.005945801200169,0.0104
11,2460332.320257014,1.0029922335169885,0.0104
12,2460332.320634063,0.9935182551371207,0.0104
13,2460332.321008646,0.9903735690518708,0.0104
14,2460332.3213844155,0.9975074159528462,0.0104
15,2460332.3217603588,1.013965195610108,0.0104
16,2460332.322116343,1.0079399858335376,0.0104
17,2460332.3224770078,0.9902406983495208,0.0104
18,2460332.3228480727,0.9877105426200662,0.0104
19,2460332.3232121877,0.9955646150477728,0.0104
20,2460332.3235812387,1.0099867824970237,0.0104
21,2460332.323944184,0.975595926721126,0.0104
22,2460332.324309821,1.0023201443890244,0.0104
23,2460332.3246833505,0.9874100688990771,0.0104
24,2460332.325062853,1.0022139263227214,0.0104
25,2460332.3254280672,0.9890943707270689,0.0104
26,2460332.3257910702,0.9986847125982036,0.0104
27,2460332.3261682754,1.0091285937090837,0.0104
28,2460332.3265464986,0.9986126583177132,0.0104
29,2460332.3269223785,1.0083047667113596,0.0104
30,2460332.3273007115,0.998823725314957,0.0104
31,2460332.327661227,1.0019759562429025,0.0104
32,2460332.3280218984,1.0127209176191807,0.0104
33,2460332.3283955036,0.9894939006512237,0.0104
34,2460332.3287749016,1.0053571234854164,0.0104
35,2460332.3291357,1.0086415879932475,0.0104
36,2460332.3295162674,1.0039702706266138,0.0104
37,2460332.3298910535,1.0107345508583312,0.0104
38,2460332.330259931,0.999321689787553,0.0104
39,2460332.3306301096,0.994957756878188,0.0104
40,2460332.330995521,1.003724808707842,0.0104
41,2460332.3313738313,1.0021140662290438,0.0104
42,2460332.3317545312,0.9988758164540319,0.0104
43,2460332.3321127486,1.002127972650549,0.0104
44,2460332.332466644,1.0042152881249895,0.0104
45,2460332.3328539934,0.9931870967252053,0.0104
46,2460332.3332263366,0.9997257567517479,0.0104
47,2460332.333602332,0.9991875179524383,0.0104
48,2460332.3339818753,0.9913315560970493,0.0104
49,2460332.3343612617,0.9969552129721994,0.0104
50,2460332.3347338485,1.0154600736023327,0.0104
51,2460332.3351074536,0.9922462151192061,0.0104
52,2460332.335495295,1.0092705851556902,0.0104
53,2460332.3358641434,0.9960853813856152,0.0104
54,2460332.336247014,1.0133730291073113,0.0104
55,2460332.3366206423,0.9834988066571835,0.0104
56,2460332.336989387,0.9967640370083293,0.0104
57,2460332.337359641,0.9872228987358358,0.0104
58,2460332.337725081,0.9925439137688271,0.0104
59,2460332.3380953013,1.0022298794356557,0.0104
60,2460332.3384746877,0.9830913559670731,0.0104
61,2460332.338863484,1.013642627286699,0.0104
62,2460332.339257124,0.986267642602962,0.0104
63,2460332.3396272687,1.0016070640265329,0.0104
64,2460332.340004265,0.9950170196060821,0.0104
65,2460332.3403802896,1.0017228347887093,0.0104
66,2460332.3407573206,1.0011722340510552,0.0104
67,2460332.3411345775,0.9955438707172196,0.0104
68,2460332.341515307,0.9970339725749938,0.0104
69,2460332.3418668807,0.9953372263150282,0.0104
70,2460332.342241655,0.9981281527324444,0.0104
71,2460332.3426201097,0.9999930197517852,0.0104
72,2460332.34300092,0.9960705013163362,0.0104
73,2460332.343382772,1.0027338281796205,0.0104
74,2460332.343773056,1.0011208011438633,0.0104
75,2460332.344149838,1.0024576017997018,0.0104
76,2460332.3445116435,0.9971131430455635,0.0104
77,2460332.3448956655,0.9866780020345527,0.0104
78,2460332.345275168,0.9884343363592336,0.0104
79,2460332.3456586576,1.0084048415466362,0.0104
80,2460332.346039757,1.0003714093997487,0.0104
81,2460332.3463968057,0.9887419630352237,0.0104
82,2460332.346779688,1.0008902337974588,0.0104
83,2460332.347159213,0.969999632173097,0.0104
84,2460332.347536325,0.9959700028133488,0.0104
85,2460332.347913368,0.9995515204517654,0.0104
86,2460332.348297355,1.0001390254834905,0.0104
87,2460332.348676788,0.9959584308683224,0.0104
88,2460332.3490597224,0.992177001623191,0.0104
89,2460332.349436811,1.0014027493557587,0.0104
90,2460332.3498152434,1.0009280099883002,0.0104
91,2460332.3501947224,1.0095044458654086,0.0104
92,2460332.350573212,1.0048826772978043,0.0104
93,2460332.3509514816,1.0036129494476163,0.0104
94,2460332.351330984,1.0100035333094,0.0104
95,2460332.3516953588,1.006233716713257,0.0104
96,2460332.3520748382,0.9927933451927199,0.0104
97,2460332.352456597,1.0150026431178132,0.0104
98,2460332.352839526,1.0012119420690058,0.0104
99,2460332.353216603,0.9960271134962491,0.0104
100,2460332.353570255,0.9974517025294692,0.0104
101,2460332.353943744,0.9864579930059759,0.0104
102,2460332.354325602,0.984933607232252,0.0104
103,2460332.354705058,0.9976559977959767,0.0104
104,2460332.3550823033,1.0033724955055083,0.0104
105,2460332.355461811,1.0111916304176038,0.0104
106,2460332.355837963,1.005640893014332,0.0104
107,2460332.3562174076,1.0095361194426253,0.0104
108,2460332.3565863366,1.01656223550769,0.0104
109,2460332.3569611344,0.9886955932776784,0.0104
110,2460332.3573335935,0.9927631999607572,0.0104
111,2460332.357707292,1.0056016914753094,0.0104
112,2460332.358091765,0.990221471344504,0.0104
113,2460332.3584722397,1.0076255074511318,0.0104
114,2460332.358850324,0.9816495491564764,0.0104
115,2460332.359219265,0.9946211589331236,0.0104
116,2460332.35960452,0.9978157373536878,0.0104
117,2460332.35997581,1.0065634256312193,0.0104
118,2460332.3603494214,1.0113004075258543,0.0104
119,2460332.3607089873,1.0032637702355613,0.0104
120,2460332.3610908682,0.9922532748672549,0.0104
121,2460332.3614727603,0.9982748107096548,0.0104
122,2460332.3618322513,0.9882000735403158,0.0104
123,2460332.362218623,0.9935499311181232,0.0104
124,2460332.362599369,0.9817657560130701,0.0104
125,2460332.3629787387,0.9903696539427712,0.0104
126,2460332.363359271,0.9941504029411228,0.0104
127,2460332.3637340395,0.987686327806055,0.0104
128,2460332.3641112503,1.00397799061344,0.0104
129,2460332.364494311,1.0091956352215203,0.0104
130,2460332.3648725287,0.9809968672820795,0.0104
131,2460332.3652508045,1.011803503741499,0.0104
132,2460332.36562919,0.9959064051983125,0.0104
133,2460332.3660075637,0.9935345577611546,0.0104
134,2460332.3663856946,1.003166354630666,0.0104
135,2460332.3667556713,0.9969609438240072,0.0104
136,2460332.3671255726,0.9946160505909193,0.0104
137,2460332.3675013776,0.9961115807765163,0.0104
138,2460332.3678750116,0.9953808167005067,0.0104
139,2460332.3682534145,0.9964710722899072,0.0104
140,2460332.368634022,1.0019235397928872,0.0104
141,2460332.3690110766,0.9911627358284283,0.0104
142,2460332.369394109,0.9981771453721526,0.0104
143,2460332.369779433,1.0040693147923603,0.0104
144,2460332.3701540628,0.9851977353394852,0.0104
145,2460332.3705368578,1.0038996124164425,0.0104
146,2460332.370913993,0.9881381858743334,0.0104
147,2460332.371290029,1.0074034301614423,0.0104
148,2460332.3716706485,0.9984613530280373,0.0104
149,2460332.3720454453,0.9979055744788707,0.0104
150,2460332.3724120776,0.9993325233232404,0.0104
151,2460332.372791528,1.0024834189494098,0.0104
152,2460332.3731613713,0.9924477411087437,0.0104
153,2460332.373540764,0.9908121988271318,0.0104
154,2460332.3739073207,1.010327238027541,0.0104
155,2460332.374292523,0.9993360572556647,0.0104
156,2460332.374667315,0.9960092167221062,0.0104
157,2460332.375047876,0.9993540887409706,0.0104
158,2460332.37542963,1.0056976618750595,0.0104
159,2460332.3758042534,0.9842571329092952,0.0104
160,2460332.376182639,0.9956060244680859,0.0104
161,2460332.3765574596,0.9995172608115765,0.0104
162,2460332.376941568,1.0012423888882873,0.0104
163,2460332.3773151045,0.9964081287720211,0.0104
164,2460332.3776933565,0.9984362989011537,0.0104
165,2460332.378073987,0.993833821795179,0.0104
166,2460332.378451186,0.9903371488098835,0.0104
167,2460332.3788305786,1.003288568714366,0.0104
168,2460332.3792100754,1.003972238236105,0.0104
169,2460332.379590677,0.9962103901304137,0.0104
170,2460332.37996897,1.0031967231490262,0.0104
171,2460332.3803285765,1.0108129114036073,0.0104
172,2460332.3807034316,0.9968195179847027,0.0104
173,2460332.381088692,0.9963507938109564,0.0104
174,2460332.38145886,1.0131275067448768,0.0104
175,2460332.381846568,1.0013793950288412,0.0104
176,2460332.382224815,0.999379135216315,0.0104
177,2460332.3826078125,0.9732746945237378,0.0104
178,2460332.382983588,0.989935342788459,0.0104
179,2460332.383359404,0.9971662176947104,0.0104
180,2460332.3837297224,0.9841507520992292,0.0104
181,2460332.3841056484,1.0126820377319812,0.0104
182,2460332.3844817188,1.0046270672231503,0.0104
183,2460332.384855376,1.0027253684567747,0.0104
184,2460332.3852370777,1.0008036410172467,0.0104
185,2460332.3856130266,0.9911607440674602,0.0104
186,2460332.385990139,0.9977957921682752,0.0104
187,2460332.386368339,1.0005271095983514,0.0104
188,2460332.3867546874,0.9983641128562982,0.0104
189,2460332.3871330265,1.0079437356842642,0.0104
190,2460332.3875032524,1.0105567568599474,0.0104
191,2460332.3878769213,0.9867735906429351,0.0104
192,2460332.3882565624,0.9919115734774072,0.0104
193,2460332.3886395604,1.0114112943742177,0.0104
194,2460332.3890178124,1.003430627522891,0.0104
195,2460332.389389022,1.012048174504059,0.0104
196,2460332.3897673613,0.997069533925101,0.0104
197,2460332.3901456655,0.9955311304377189,0.0104
198,2460332.390517882,1.0009376418334808,0.0104
199,2460332.390898559,1.005882817277528,0.0104
200,2460332.391281401,1.017725196859533,0.0104
201,2460332.3916748147,1.0000651050606266,0.0104
202,2460332.392057766,1.0076820454489157,0.0104
203,2460332.3924384145,0.996807450140685,0.0104
204,2460332.3928226097,1.0074529325330153,0.0104
205,2460332.3932056134,1.0000261166920184,0.0104
206,2460332.3935814933,0.9926565593930704,0.0104
207,2460332.3939633393,1.004655057027631,0.0104
208,2460332.3943463136,1.0000069802482148,0.0104
209,2460332.3947292943,0.9979471517450801,0.0104
210,2460332.3951146007,0.9939663950628145,0.0104
211,2460332.3954941323,0.996666357556816,0.0104
212,2460332.3958759955,1.0111407014387146,0.0104
213,2460332.396256522,0.985174930236549,0.0104
214,2460332.396638212,0.9816684701841566,0.0104
215,2460332.397017552,0.997172877872577,0.0104
216,2460332.3974003647,0.9968670798394285,0.0104
217,2460332.397778692,1.0022859703032974,0.0104
218,2460332.3981442363,1.0006591103654283,0.0104
219,2460332.398529572,0.9981017244337959,0.0104
220,2460332.3989091436,1.0002289804264501,0.0104
221,2460332.3992991145,1.0110525134731123,0.0104
222,2460332.3996915976,1.0050834201998058,0.0104
223,2460332.400079346,1.005905396745374,0.0104
224,2460332.4004635997,1.009081370347012,0.0104
225,2460332.4008476795,0.993959211850645,0.0104
226,2460332.401231915,1.009370901456483,0.0104
227,2460332.401617147,1.006045068459968,0.0104
228,2460332.402002436,0.9980058752427629,0.0104
229,2460332.4023876623,0.9920994322915113,0.0104
230,2460332.402771962,0.9937485458124554,0.0104
231,2460332.4031527257,0.9994136805236492,0.0104
232,2460332.403533345,0.9942484399406459,0.0104
233,2460332.403919184,0.9979327664439253,0.0104
234,2460332.404305139,1.0019933249050685,0.0104
235,2460332.4046916785,0.9943669668775057,0.0104
236,2460332.4050729917,1.0028987388860546,0.0104
237,2460332.4054595544,0.9946674931774547,0.0104
238,2460332.405846383,0.9967525785840863,0.0104
239,2460332.4062328297,1.004880812654923,0.0104
240,2460332.4066123613,0.9944053370191112,0.0104
241,2460332.407002593,0.9835064544329138,0.0104
242,2460332.4073832463,1.0034591365311842,0.0104
243,2460332.407767431,0.9978806674516365,0.0104
244,2460332.4081620313,1.0160382703020086,0.0104
245,2460332.4085451043,0.9864642058796149,0.0104
246,2460332.4089138946,0.9909537859993985,0.0104
247,2460332.409304063,1.0048345729611834,0.0104
248,2460332.4096847572,1.012541006253614,0.0104
249,2460332.4100688254,1.0161539377523534,0.0104
250,2460332.410453264,0.9992914001532147,0.0104
251,2460332.41083864,1.0105200449587446,0.0104
252,2460332.411220295,0.9923844509193153,0.0104
253,2460332.4116114527,1.0204533855070834,0.0104
254,2460332.4119946184,1.0126012245943827,0.0104
255,2460332.4123891145,1.0016730693132039,0.0104
256,2460332.4127683854,1.0018832400189595,0.0104
257,2460332.4131477717,1.0128033089057118,0.0104
258,2460332.413528507,1.0083506695160007,0.0104
259,2460332.4139031656,0.9887517937478305,0.0104
260,2460332.4142896817,0.9952195436774329,0.0104
261,2460332.4146725866,0.9817416205731576,0.0104
262,2460332.4150521355,1.011461222102456,0.0104
263,2460332.4154338893,0.9925429947832135,0.0104
264,2460332.4158168403,1.0055916327405727,0.0104
265,2460332.416196192,0.9731795100523739,0.0104
266,2460332.416578906,0.9990275586850879,0.0104
267,2460332.4169630613,0.9943222369342699,0.0104
268,2460332.41734614,1.0024374709767394,0.0104
269,2460332.4177221702,1.0124803931890192,0.0104
270,2460332.4181064293,0.9967957354129114,0.0104
271,2460332.418489265,1.004434256729055,0.0104
272,2460332.4188720314,0.988815167888418,0.0104
273,2460332.4192491435,0.9951212470229517,0.0104
274,2460332.4196250234,0.9699455163294325,0.0104
275,2460332.420012477,0.9913072518449078,0.0104
276,2460332.420397905,0.992709296977822,0.0104
277,2460332.420773843,1.003327123911388,0.0104
278,2460332.4211520255,1.0063802210335637,0.0104
279,2460332.4215328125,1.0032917740230003,0.0104
280,2460332.4219121933,0.9922572613831819,0.0104
281,2460332.4223080846,0.9875409334232069,0.0104
282,2460332.422692124,0.9977478238688465,0.0104
283,2460332.4230727665,1.001874476098827,0.0104
284,2460332.4234545603,1.0135399141886603,0.0104
285,2460332.4238304864,0.9923948576558819,0.0104
286,2460332.424214624,1.0023019489435634,0.0104
287,2460332.424596441,1.0152567296622783,0.0104
288,2460332.4249793286,1.002484777155862,0.0104
289,2460332.425358901,1.0013246681074834,0.0104
290,2460332.4257417363,1.0138685103984764,0.0104
291,2460332.4261234202,1.0247254345155887,0.0104
292,2460332.4265028704,0.9999594257485218,0.0104
293,2460332.4268812733,0.9951322094054174,0.0104
294,2460332.427250093,0.9869561269932149,0.0104
295,2460332.4276413945,0.9876731749501845,0.0104
296,2460332.4280291144,1.0037430439161101,0.0104
297,2460332.42841566,0.9949721039109232,0.0104
298,2460332.4288058337,1.0024513059812572,0.0104
299,2460332.429192286,1.0038704548482733,0.0104
300,2460332.4295916553,0.9890409698360993,0.0104
301,2460332.4299593405,0.9870256688112836,0.0104
302,2460332.430343507,0.9950701876567684,0.0104
303,2460332.4307266492,0.9772112198320931,0.0104
304,2460332.431113264,0.9884832463030959,0.0104
305,2460332.4314991785,1.0133566440985056,0.0104
306,2460332.4318824536,0.9884412221027955,0.0104
307,2460332.4322749656,1.0023616039392924,0.0104
308,2460332.4326660475,0.9990864112038812,0.0104
309,2460332.4330537906,0.9871410368711213,0.0104
310,2460332.4334335476,1.0092636569813558,0.0104
311,2460332.4338153875,1.0054975474245877,0.0104
312,2460332.4341961574,1.013542465603576,0.0104
313,2460332.434582558,1.0200484253234623,0.0104
314,2460332.434965695,1.0217063004940727,0.0104
315,2460332.435346568,0.9774007757807472,0.0104
316,2460332.435732054,1.0095042794277922,0.0104
317,2460332.4361067596,1.0117127909701842,0.0104
318,2460332.4364873036,0.9917006585845429,0.0104
319,2460332.436870214,1.0064860633771082,0.0104
320,2460332.4372575753,1.0100509636566302,0.0104
321,2460332.4376463713,1.0035941457329272,0.0104
