indx,time,flux,fluxErr
0,2460297.291093,0.9937219668171101,0.001658
1,2460297.293295,0.9972764194314077,0.001563
2,2460297.295407,0.9951257506344023,0.001537
3,2460297.297528,0.9876758979117216,0.001511
4,2460297.299632,0.9892166606342624,0.001483
5,2460297.301755,0.9942678827460572,0.001499
6,2460297.305994,0.9960106143653878,0.001434
7,2460297.308101,0.9922062002451623,0.001407
8,2460297.310195,0.9920252281148704,0.001499
9,2460297.312312,0.9915822963263657,0.001458
10,2460297.314433,0.9969184745549186,0.001412
11,2460297.316531,0.992551147123343,0.001382
12,2460297.320744,0.9974843874043398,0.001354
13,2460297.322851,0.997956314727532,0.001366
14,2460297.324962,0.9933620222485737,0.001343
15,2460297.327067,0.9961805881894189,0.001338
16,2460297.329171,0.9953787116784015,0.001342
17,2460297.331267,0.992141210253621,0.001359
18,2460297.335454,0.9967075070439152,0.001334
19,2460297.337553,0.9945198439440327,0.001337
20,2460297.33966,0.9928890950793577,0.001347
21,2460297.341773,0.995554684578575,0.001354
22,2460297.34389,0.9953897099846624,0.001356
23,2460297.346022,0.9966305189000894,0.00134
24,2460297.348124,0.995397708752852,0.001337
25,2460297.350223,0.9937409638915607,0.001351
26,2460297.35233,0.9916722824684998,0.001338
27,2460297.354436,0.9923511779186006,0.001346
28,2460297.356556,0.998286263915357,0.001337
29,2460297.358651,0.9939549309406351,0.001346
30,2460297.362869,0.9944678519507996,0.00132
31,2460297.364986,0.9965875255210698,0.001318
32,2460297.367113,0.9962075840320591,0.00132
33,2460297.369203,0.9943368721216933,0.001309
34,2460297.371402,0.997438394487249,0.001305
35,2460297.373522,0.997351407883186,0.001294
36,2460297.37561,0.9966765118171802,0.001293
37,2460297.377707,1.0005079217800459,0.001295
38,2460297.379802,1.0007808797445192,0.001296
39,2460297.381901,0.9977123522977462,0.001294
40,2460297.384002,0.9996520535837481,0.001296
41,2460297.386094,0.9979443165752475,0.001287
42,2460297.388205,0.9986572067901544,0.001276
43,2460297.390322,1.000468927785121,0.001288
44,2460297.394535,0.9977933398256669,0.001289
45,2460297.39666,0.9975143827850511,0.001303
46,2460297.398761,0.9990261499729042,0.001295
47,2460297.400868,1.0,0.001282
48,2460297.402974,1.0007428855956182,0.001278
49,2460297.405073,0.9998520227884905,0.001284
50,2460297.407184,0.9973684052655891,0.001281
51,2460297.409298,1.001105829702226,0.001272
52,2460297.41143,0.9996110598967759,0.001275
53,2460297.413554,1.0028835559323865,0.001279
54,2460297.415661,1.0005519150050892,0.001279
55,2460297.417775,1.0012638053739724,0.001276
56,2460297.419899,1.002586601663344,0.001281
57,2460297.421998,0.9988141826158772,0.001278
58,2460297.424112,0.9992531150202869,0.001283
59,2460297.426235,1.0018297182233935,0.001291
