indx,time,flux,fluxErr
0,2460323.5717501272,0.9981453943699204,0.0034
1,2460323.575568981,0.9977957795451352,0.0034
2,2460323.579389428,0.994706411042174,0.0034
3,2460323.583205226,1.022221104895905,0.0034
4,2460323.587022662,1.0475074027375484,0.0034
5,2460323.590842124,0.9974148250547752,0.0034
6,2460323.5946599883,1.0010694445714194,0.0034
7,2460323.5984631595,1.057580239279734,0.0034
8,2460323.602275504,1.0064785049155276,0.0034
9,2460323.6060904344,1.003144309846668,0.0034
10,2460323.60990772,0.9977936595863072,0.0034
11,2460323.6137259607,0.9998120846562816,0.0034
12,2460323.617542043,0.9964510618648446,0.0034
13,2460323.621355891,0.9851553477788978,0.0034
14,2460323.625165932,1.05979540638697,0.0034
15,2460323.6289651506,1.073012392463447,0.0034
16,2460323.6327711805,1.0001879153437183,0.0034
17,2460323.636583976,0.998986957223498,0.0034
18,2460323.6403977084,0.9073250766184848,0.0034
19,2460323.64423066,0.9925950748072804,0.0034
20,2460323.648039265,1.046229068467386,0.0034
21,2460323.6518488023,0.9958356582311696,0.0034
22,2460323.655643634,1.000404099868503,0.0034
23,2460323.659447002,0.998046479958076,0.0034
24,2460323.663245654,0.9987554279971158,0.0034
25,2460323.6670623785,0.9964035833345394,0.0034
26,2460323.670879641,0.9961706917518924,0.0034
27,2460323.674695324,0.9984564099463112,0.0034
28,2460323.6785098263,0.9978102472375844,0.0034
29,2460323.682324856,0.9957618113064234,0.0034
30,2460323.6861379743,0.9939959436031444,0.0034
31,2460323.689956157,0.9895867288309508,0.0034
32,2460323.693762587,0.991804328824983,0.0034
33,2460323.6975898785,1.025018289532603,0.0034
34,2460323.701403484,0.996638345051682,0.0034
35,2460323.70521228,0.9800445174357222,0.0034
36,2460323.7090101447,1.0255531122489088,0.0034
37,2460323.712838455,0.995262794820536,0.0034
38,2460323.716648264,1.050833094384098,0.0034
39,2460323.720441898,0.8498280199341444,0.0034
40,2460323.7242624946,0.9953682402681328,0.0034
41,2460323.728085787,0.994627774435021,0.0034
42,2460323.731893912,0.956318241409186,0.0034
43,2460323.735696018,1.0532003255855742,0.0034
44,2460323.739507627,0.9908972877993444,0.0034
45,2460323.7433124306,0.9914531908420549,0.0034
46,2460323.747128692,1.0172938995431675,0.0034
47,2460323.7511331365,0.9915990313752442,0.0034
48,2460323.7549472684,0.989821861022635,0.0034
49,2460323.758763212,0.991595450062317,0.0034
50,2460323.762578316,0.9970280325468256,0.0034
51,2460323.766395874,0.9411295169863888,0.0034
52,2460323.770211308,0.99430066871573,0.0034
53,2460323.774026649,0.9928276360241628,0.0034
54,2460323.777843004,0.9286668039641612,0.0034
55,2460323.7816588427,0.9951434365355154,0.0034
56,2460323.785451048,0.9956372030295036,0.0034
57,2460323.7892595315,1.0065176165844036,0.0034
58,2460323.793078079,0.9925241416275136,0.0034
59,2460323.7968943864,0.99310549330318,0.0034
60,2460323.8007154977,0.9930968255818988,0.0034
61,2460323.804536574,0.9903719490875856,0.0034
62,2460323.8083332293,0.9942402801660448,0.0034
