indx,time,flux,fluxErr
0,2460288.323766,0.9971933610713731,0.001169
1,2460288.325893,0.9963463191427976,0.001151
2,2460288.328083,0.992801143656611,0.001136
3,2460288.330194,0.9934511758332037,0.001133
4,2460288.332295,0.9951822615219454,0.001134
5,2460288.334386,0.9942232140490954,0.001131
6,2460288.336495,0.9945502302363967,0.001132
7,2460288.338605,0.992952151131481,0.001132
8,2460288.340715,0.9959532996883346,0.001134
9,2460288.342821,0.9926531363302484,0.001129
10,2460288.344932,0.9934431754371842,0.001128
11,2460288.34703,0.9906810387114162,0.001123
12,2460288.349126,0.9946732363251981,0.001132
13,2460288.351228,0.9919000990549033,0.001126
14,2460288.353335,0.9941672112769582,0.001127
15,2460288.355445,0.9918580969758004,0.001119
16,2460288.357548,0.9928671469237728,0.001114
17,2460288.359657,0.9921461112325061,0.001111
18,2460288.361748,0.9919781029160943,0.001112
19,2460288.363858,0.9926841378648243,0.001109
20,2460288.365965,0.9918500965797807,0.001109
21,2460288.368075,0.9929771523690424,0.001105
22,2460288.370188,0.9923351205884692,0.001101
23,2460288.372301,0.9951572602843841,0.001104
24,2460288.374407,0.9942532155341689,0.001098
25,2460288.376518,0.9914390762342736,0.001095
26,2460288.378624,0.9922901183608589,0.001099
27,2460288.380739,0.9927871429635767,0.001095
28,2460288.382835,0.9927581415280057,0.001095
29,2460288.384944,0.9922121144996678,0.001097
30,2460288.387053,0.9933101688533582,0.001097
31,2460288.389164,0.9940772068217377,0.001091
32,2460288.391251,0.9944762265732153,0.001089
33,2460288.393396,0.9939692014754731,0.001088
34,2460288.395587,0.9938791970202525,0.001085
35,2460288.397696,0.9930091539531206,0.001079
36,2460288.399803,0.9919010991044057,0.00108
37,2460288.401915,0.9924861280633391,0.001083
38,2460288.404025,0.9947412396913647,0.001082
39,2460288.406129,0.9927091391023856,0.001081
40,2460288.408233,0.9921321105394718,0.001075
41,2460288.410334,0.9940562057821862,0.001079
42,2460288.412442,0.993174162121025,0.001078
43,2460288.41454,0.9942882172667548,0.001076
44,2460288.416651,0.9930191544481453,0.001076
45,2460288.418758,0.9916150849467048,0.001076
46,2460288.420865,0.9919331006884841,0.001077
47,2460288.422972,0.9921481113315109,0.001076
48,2460288.42508,0.9908020447012127,0.001074
49,2460288.427186,0.9923781227170746,0.001076
50,2460288.429333,0.9934491757341988,0.001071
51,2460288.431443,0.9921201099454424,0.001066
52,2460288.433557,0.9922051141531506,0.00107
53,2460288.435655,0.9934221743976327,0.001071
54,2460288.437769,0.9945472300878894,0.001073
55,2460288.439883,0.9920571068267879,0.001068
56,2460288.441986,0.9932821674672897,0.001066
57,2460288.444098,0.9918160948966974,0.001064
58,2460288.446207,0.9920021041041531,0.001068
59,2460288.448318,0.9947332392953452,0.001066
60,2460288.450431,0.9919281004409718,0.001062
